Feature,Importance
numerical__Length_of_Stay,0.5071261716700279
numerical__ICU_Admission,0.42275233323375233
numerical__Surgery,0.35260374304067044
numerical__Previous_Infection,0.3298216274672198
numerical__Age,0.3274244797606397
numerical__Temperature_Change,0.32116268414050275
numerical__Catheter_Use,0.31029624302922715
numerical__Ventilator_Use,0.2546632127684482
numerical__Immunocompromised,0.24551672694550938
numerical__Antibiotic_Exposure,0.22581788631882527
numerical__Temperature_Day3,0.17963954680675848
numerical__Central_Line,0.1653853464516455
numerical__Diabetes,0.15572213667331417
numerical__Temperature_Day1,0.14894799834149544
numerical__WBC_Change,0.11858388276923643
numerical__WBC_Day1,0.10262087754990228
numerical__Heart_Rate_Day1,0.08508706760304299
numerical__Heart_Rate_Day3,0.07947782591452245
numerical__Heart_Rate_Change,0.0780795816141345
numerical__WBC_Day3,0.06999093540044034
categorical__Gender_Female,0.03627917244397503
categorical__Gender_Male,0.029196264310956975
categorical__Ward_Type_Emergency,0.020674589983183164
categorical__Ward_Type_General,0.009552568207333429
categorical__Ward_Type_ICU,0.003237862399228315
categorical__Ward_Type_Surgical,0.0004878086253688789
